Subject,CondNumber,corr_resp,Stimulus.ACC,Stimulus.RESP,Stimulus.RT,target,preview1,preview3
1,14,1,1,1,541,NNNNN,++n++,++n++
1,4,5,1,5,613,NNANN,+++++,+++++
1,7,1,1,1,850,++R++,+++++,++e++
1,4,1,1,1,607,AARAA,+++++,+++++
1,4,1,1,1,730,AANAA,+++++,+++++
1,7,1,1,1,997,++R++,+++++,++a++
1,4,5,1,5,642,RRARR,+++++,+++++
1,1,1,1,1,611,++R++,+++++,+++++
1,2,5,1,5,610,AAAAA,+++++,+++++
1,1,5,1,5,681,++E++,+++++,+++++
1,6,1,1,1,431,++N++,+++++,++r++
1,12,1,1,1,604,++R++,++n++,++n++
1,1,5,1,5,1021,++A++,+++++,+++++
1,8,5,1,5,648,AAAAA,+++++,++a++
1,16,5,1,5,810,RRERR,++r++,++r++
1,14,5,1,5,681,AAAAA,++a++,++a++
1,3,1,1,1,688,RRNRR,+++++,+++++
1,1,1,1,1,872,++R++,+++++,+++++
1,7,1,1,1,681,++N++,+++++,++a++
1,12,5,1,5,541,++A++,++e++,++e++
1,6,5,1,5,511,++A++,+++++,++e++
1,1,5,1,5,1204,++E++,+++++,+++++
1,6,1,1,1,491,++R++,+++++,++n++
1,13,1,1,1,484,++R++,++e++,++e++
1,12,1,1,1,469,++N++,++r++,++r++
1,13,1,1,1,637,++N++,++a++,++a++
1,7,1,1,1,823,++N++,+++++,++e++
1,10,5,1,5,508,NNANN,+++++,++n++
1,1,5,1,5,676,++E++,+++++,+++++
1,1,5,1,5,590,++E++,+++++,+++++
1,9,1,1,1,812,RRNRR,+++++,++r++
1,10,5,1,5,567,RRERR,+++++,++r++
1,15,1,1,1,965,NNRNN,++n++,++n++
1,1,5,1,5,507,++A++,+++++,+++++
1,1,5,1,5,529,++A++,+++++,+++++
1,1,1,1,1,505,++R++,+++++,+++++
1,15,1,0,5,601,RRNRR,++r++,++r++
1,10,1,1,1,773,EENEE,+++++,++e++
1,1,1,1,1,932,++N++,+++++,+++++
1,13,5,1,5,769,++E++,++r++,++r++
1,9,1,1,1,695,NNRNN,+++++,++n++
1,1,1,1,1,612,++N++,+++++,+++++
1,5,1,1,1,533,++R++,+++++,++r++
1,7,5,1,5,638,++A++,+++++,++r++
1,16,1,1,1,730,AARAA,++a++,++a++
1,13,5,1,5,509,++E++,++n++,++n++
1,13,1,1,1,539,++R++,++a++,++a++
1,10,5,1,5,712,RRARR,+++++,++r++
1,1,1,1,1,550,++N++,+++++,+++++
1,9,5,1,5,1264,EEAEE,+++++,++e++
1,4,1,1,1,611,EENEE,+++++,+++++
1,1,5,0,1,517,++A++,+++++,+++++
1,16,1,1,1,799,EEREE,++e++,++e++
1,8,5,1,5,634,EEEEE,+++++,++e++
1,11,1,1,1,838,++N++,++n++,++n++
1,1,1,1,1,682,++N++,+++++,+++++
1,10,5,1,5,800,NNENN,+++++,++n++
1,15,5,1,5,627,EEAEE,++e++,++e++
1,5,5,1,5,587,++E++,+++++,++e++
1,6,5,1,5,480,++E++,+++++,++a++
1,3,1,1,1,448,NNRNN,+++++,+++++
1,16,5,1,5,671,RRARR,++r++,++r++
1,3,5,1,5,516,EEAEE,+++++,+++++
1,14,5,1,5,433,EEEEE,++e++,++e++
1,8,1,1,1,567,RRRRR,+++++,++r++
1,16,1,1,1,718,AANAA,++a++,++a++
1,16,1,1,1,741,EENEE,++e++,++e++
1,5,5,1,5,670,++E++,+++++,++e++
1,16,5,1,5,655,RRERR,++r++,++r++
1,10,1,1,1,761,EENEE,+++++,++e++
1,1,1,1,1,1154,++R++,+++++,+++++
1,10,5,1,5,1029,NNANN,+++++,++n++
1,3,5,1,5,516,EEAEE,+++++,+++++
1,4,5,1,5,535,RRERR,+++++,+++++
1,9,1,1,1,655,NNRNN,+++++,++n++
1,7,1,1,1,712,++N++,+++++,++e++
1,5,1,1,1,545,++R++,+++++,++r++
1,1,1,1,1,823,++N++,+++++,+++++
1,2,5,1,5,1091,AAAAA,+++++,+++++
1,14,1,1,1,547,NNNNN,++n++,++n++
1,13,5,1,5,855,++A++,++n++,++n++
1,9,1,1,1,722,RRNRR,+++++,++r++
1,13,1,1,1,1483,++R++,++a++,++a++
1,1,1,1,1,1182,++R++,+++++,+++++
1,8,1,1,1,529,RRRRR,+++++,++r++
1,15,1,1,1,765,RRNRR,++r++,++r++
1,7,1,1,1,598,++R++,+++++,++a++
1,7,5,1,5,593,++A++,+++++,++n++
1,16,5,1,5,434,RRARR,++r++,++r++
1,4,5,1,5,953,NNANN,+++++,+++++
1,14,5,1,5,383,EEEEE,++e++,++e++
1,4,1,1,1,842,AARAA,+++++,+++++
1,4,1,1,1,1268,EENEE,+++++,+++++
1,10,1,1,1,695,AANAA,+++++,++a++
1,8,1,1,1,742,NNNNN,+++++,++n++
1,12,5,1,5,563,++A++,++e++,++e++
1,4,1,1,1,818,EEREE,+++++,+++++
1,16,5,0,1,435,NNENN,++n++,++n++
1,1,1,1,1,1081,++R++,+++++,+++++
1,7,5,1,5,767,++E++,+++++,++n++
1,10,5,0,1,601,RRARR,+++++,++r++
1,10,1,1,1,779,EEREE,+++++,++e++
1,1,5,1,5,836,++A++,+++++,+++++
1,13,1,1,1,798,++N++,++e++,++e++
1,5,5,1,5,426,++A++,+++++,++a++
1,9,5,1,5,560,AAEAA,+++++,++a++
1,12,1,1,1,582,++R++,++n++,++n++
1,13,5,1,5,559,++A++,++r++,++r++
1,12,5,1,5,641,++E++,++a++,++a++
1,16,1,1,1,464,AANAA,++a++,++a++
1,16,1,1,1,563,AARAA,++a++,++a++
1,10,5,1,5,577,NNENN,+++++,++n++
1,11,5,1,5,554,++E++,++e++,++e++
1,6,1,1,1,713,++R++,+++++,++n++
1,2,1,0,5,498,RRRRR,+++++,+++++
1,4,5,1,5,762,NNENN,+++++,+++++
1,3,5,1,5,621,AAEAA,+++++,+++++
1,15,5,1,5,687,AAEAA,++a++,++a++
1,2,5,1,5,664,EEEEE,+++++,+++++
1,11,1,1,1,486,++R++,++r++,++r++
1,14,5,1,5,354,AAAAA,++a++,++a++
1,13,1,1,1,823,++R++,++e++,++e++
1,7,1,0,5,888,++R++,+++++,++e++
1,6,5,1,5,743,++A++,+++++,++e++
1,3,1,1,1,1061,RRNRR,+++++,+++++
1,1,5,1,5,696,++A++,+++++,+++++
1,8,5,1,5,467,EEEEE,+++++,++e++
1,13,5,1,5,633,++E++,++n++,++n++
1,1,1,1,1,1113,++N++,+++++,+++++
1,1,1,1,1,629,++N++,+++++,+++++
1,1,5,1,5,559,++E++,+++++,+++++
1,1,5,1,5,493,++A++,+++++,+++++
1,7,5,1,5,425,++A++,+++++,++r++
1,9,5,1,5,550,EEAEE,+++++,++e++
1,15,1,1,1,574,NNRNN,++n++,++n++
1,12,1,1,1,642,++N++,++r++,++r++
1,1,5,1,5,1090,++A++,+++++,+++++
1,4,5,1,5,515,RRARR,+++++,+++++
1,15,5,1,5,692,EEAEE,++e++,++e++
1,7,5,1,5,523,++E++,+++++,++r++
1,1,5,1,5,1117,++E++,+++++,+++++
1,16,1,1,1,568,EEREE,++e++,++e++
1,2,1,1,1,713,NNNNN,+++++,+++++
1,4,1,1,1,1412,AANAA,+++++,+++++
1,16,5,1,5,685,NNANN,++n++,++n++
1,1,1,1,1,1032,++N++,+++++,+++++
1,11,5,1,5,385,++A++,++a++,++a++
1,3,1,1,1,789,NNRNN,+++++,+++++
1,6,5,1,5,492,++E++,+++++,++a++
1,8,5,1,5,465,AAAAA,+++++,++a++
1,13,1,1,1,566,++N++,++a++,++a++
1,5,1,1,1,650,++N++,+++++,++n++
1,7,1,1,1,648,++N++,+++++,++a++
1,6,1,1,1,520,++N++,+++++,++r++
1,10,1,1,1,828,AARAA,+++++,++a++
1,11,1,1,1,628,++N++,++n++,++n++
1,10,5,1,5,671,RRERR,+++++,++r++
1,1,5,1,5,1107,++E++,+++++,+++++
1,1,1,1,1,1069,++R++,+++++,+++++
1,14,1,1,1,470,RRRRR,++r++,++r++
1,13,5,1,5,901,++E++,++r++,++r++
1,1,5,1,5,1005,++E++,+++++,+++++
1,1,5,1,5,829,++A++,+++++,+++++
1,7,5,1,5,484,++A++,+++++,++n++
1,11,1,1,1,458,++R++,++r++,++r++
1,16,5,1,5,672,RRARR,++r++,++r++
1,15,1,1,1,766,NNRNN,++n++,++n++
1,10,5,1,5,663,NNANN,+++++,++n++
1,10,1,1,1,959,AANAA,+++++,++a++
1,16,5,1,5,621,NNENN,++n++,++n++
1,3,1,0,5,835,RRNRR,+++++,+++++
1,1,1,1,1,671,++N++,+++++,+++++
1,16,1,1,1,670,EEREE,++e++,++e++
1,1,5,1,5,1341,++E++,+++++,+++++
1,1,1,1,1,517,++N++,+++++,+++++
1,14,1,1,1,1209,NNNNN,++n++,++n++
1,2,1,1,1,1366,NNNNN,+++++,+++++
1,13,1,1,1,441,++N++,++a++,++a++
1,13,5,1,5,535,++A++,++r++,++r++
1,7,1,1,1,702,++R++,+++++,++e++
1,8,5,1,5,556,AAAAA,+++++,++a++
1,1,5,1,5,1032,++A++,+++++,+++++
1,6,5,1,5,490,++A++,+++++,++e++
1,9,1,1,1,1020,NNRNN,+++++,++n++
1,15,5,1,5,502,EEAEE,++e++,++e++
1,1,5,1,5,595,++E++,+++++,+++++
1,12,5,1,5,573,++E++,++a++,++a++
1,11,5,1,5,420,++A++,++a++,++a++
1,4,5,1,5,585,NNANN,+++++,+++++
1,13,1,1,1,858,++R++,++a++,++a++
1,1,1,1,1,685,++R++,+++++,+++++
1,10,1,1,1,767,EEREE,+++++,++e++
1,12,1,1,1,459,++R++,++n++,++n++
1,1,5,1,5,952,++E++,+++++,+++++
1,4,1,1,1,597,AARAA,+++++,+++++
1,1,5,1,5,440,++E++,+++++,+++++
1,16,1,1,1,603,EENEE,++e++,++e++
1,1,1,1,1,976,++R++,+++++,+++++
1,10,5,1,5,727,NNENN,+++++,++n++
1,8,1,1,1,538,RRRRR,+++++,++r++
1,9,5,1,5,560,EEAEE,+++++,++e++
1,14,5,1,5,580,EEEEE,++e++,++e++
1,10,5,1,5,646,RRARR,+++++,++r++
1,1,5,1,5,986,++A++,+++++,+++++
1,4,1,1,1,729,EEREE,+++++,+++++
1,4,1,1,1,668,EENEE,+++++,+++++
1,7,5,1,5,810,++E++,+++++,++n++
1,4,5,1,5,894,NNENN,+++++,+++++
1,12,5,1,5,681,++A++,++e++,++e++
1,4,1,1,1,667,AANAA,+++++,+++++
1,1,1,1,1,870,++R++,+++++,+++++
1,5,5,1,5,411,++A++,+++++,++a++
1,7,5,1,5,649,++A++,+++++,++r++
1,8,1,1,1,504,NNNNN,+++++,++n++
1,15,1,1,1,802,RRNRR,++r++,++r++
1,16,1,1,1,648,AANAA,++a++,++a++
1,15,5,1,5,731,AAEAA,++a++,++a++
1,3,1,1,1,810,NNRNN,+++++,+++++
1,7,5,1,5,776,++E++,+++++,++r++
1,3,5,1,5,888,EEAEE,+++++,+++++
1,16,1,1,1,539,AARAA,++a++,++a++
1,12,1,1,1,617,++N++,++r++,++r++
1,13,5,1,5,551,++E++,++n++,++n++
1,10,1,1,1,737,EENEE,+++++,++e++
1,9,1,1,1,669,RRNRR,+++++,++r++
1,13,5,1,5,879,++E++,++r++,++r++
1,8,5,1,5,465,EEEEE,+++++,++e++
1,4,5,0,1,487,RRARR,+++++,+++++
1,5,1,1,1,617,++R++,+++++,++r++
1,14,1,1,1,570,RRRRR,++r++,++r++
1,6,1,1,1,1017,++N++,+++++,++r++
1,1,1,1,1,711,++R++,+++++,+++++
1,5,5,1,5,531,++E++,+++++,++e++
1,16,5,1,5,1203,RRERR,++r++,++r++
1,4,5,1,5,898,RRERR,+++++,+++++
1,5,1,1,1,575,++N++,+++++,++n++
1,1,5,1,5,483,++A++,+++++,+++++
1,7,1,1,1,559,++R++,+++++,++a++
1,3,5,1,5,553,AAEAA,+++++,+++++
1,13,1,1,1,438,++R++,++e++,++e++
1,6,5,1,5,433,++E++,+++++,++a++
1,2,5,1,5,444,EEEEE,+++++,+++++
1,14,5,1,5,422,AAAAA,++a++,++a++
1,13,5,1,5,605,++A++,++n++,++n++
1,11,1,1,1,605,++N++,++n++,++n++
1,10,5,1,5,634,RRERR,+++++,++r++
1,10,1,1,1,653,AARAA,+++++,++a++
1,6,1,1,1,794,++R++,+++++,++n++
1,2,5,1,5,596,AAAAA,+++++,+++++
1,16,5,1,5,444,NNANN,++n++,++n++
1,2,1,1,1,559,RRRRR,+++++,+++++
1,1,1,1,1,569,++N++,+++++,+++++
1,7,1,1,1,550,++N++,+++++,++a++
1,11,5,1,5,442,++E++,++e++,++e++
1,13,1,1,1,664,++N++,++e++,++e++
1,7,1,1,1,836,++N++,+++++,++e++
1,1,1,1,1,819,++N++,+++++,+++++
1,9,5,1,5,603,AAEAA,+++++,++a++
1,1,5,1,5,674,++E++,+++++,+++++
1,13,5,1,5,499,++E++,++n++,++n++
1,4,1,1,1,625,AANAA,+++++,+++++
1,9,1,1,1,778,NNRNN,+++++,++n++
1,10,5,1,5,766,RRARR,+++++,++r++
1,12,1,1,1,763,++N++,++r++,++r++
1,13,1,1,1,580,++N++,++a++,++a++
1,5,5,1,5,490,++E++,+++++,++e++
1,10,5,0,1,633,RRERR,+++++,++r++
1,11,1,1,1,785,++R++,++r++,++r++
