"subject","group","hostname","word","list_type","list_length","class","rating","old_new","acc","credit","lab"
100,"old","cMAPLab-Behav","deranged","semantic",8,"related",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","improvisation","semantic",8,"related",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","yaw","phonetic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","fate","phonetic",2,"critical",3,"new",1,"n","n"
100,"old","cMAPLab-Behav","rate","phonetic",2,"related",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","toy","phonetic",0,"lure",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","extinction","semantic",2,"target",4,"old",1,"n","n"
100,"old","cMAPLab-Behav","goon","phonetic",2,"related",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","rote","phonetic",8,"related",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","hop","phonetic",2,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","cow","phonetic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","gambler","semantic",8,"critical",6,"old",0,"n","n"
100,"old","cMAPLab-Behav","pull","phonetic",0,"lure",3,"new",1,"n","n"
100,"old","cMAPLab-Behav","monoxide","semantic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","rat","phonetic",2,"related",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","bird","phonetic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","wizard","semantic",2,"related",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","trickster","semantic",2,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","bud","phonetic",8,"related",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","tortilla","semantic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","attic","semantic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","con","phonetic",2,"related",3,"new",1,"n","n"
100,"old","cMAPLab-Behav","pyramid","semantic",2,"critical",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","glittering","semantic",2,"related",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","vault","semantic",2,"related",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","hieroglyphics","semantic",2,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","sip","phonetic",8,"critical",6,"old",0,"n","n"
100,"old","cMAPLab-Behav","nest","phonetic",2,"related",3,"new",1,"n","n"
100,"old","cMAPLab-Behav","lawn","phonetic",0,"lure",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","emerald","semantic",2,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","babble","semantic",2,"related",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","teat","phonetic",8,"related",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","fitness","semantic",8,"critical",5,"old",0,"n","n"
100,"old","cMAPLab-Behav","paranormal","semantic",8,"related",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","hypnotist","semantic",2,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","role","phonetic",8,"critical",5,"old",0,"n","n"
100,"old","cMAPLab-Behav","warmhearted","semantic",0,"lure",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","wire","phonetic",8,"related",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","synopsis","semantic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","canvas","semantic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","soon","phonetic",2,"target",3,"new",0,"n","n"
100,"old","cMAPLab-Behav","heal","phonetic",8,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","nun","phonetic",8,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","bun","phonetic",8,"critical",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","unformed","semantic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","workout","semantic",8,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","pop","phonetic",2,"target",1,"new",0,"n","n"
100,"old","cMAPLab-Behav","honeycomb","semantic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","comedian","semantic",8,"critical",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","jargon","semantic",0,"lure",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","magician","semantic",2,"critical",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","coin","phonetic",0,"lure",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","piccolo","semantic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","barbells","semantic",8,"related",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","robe","phonetic",8,"related",4,"old",0,"n","n"
