"S","ID","Age","CL_P_2","RL_P_2","T_P_2","CL_S_2","RL_S_2","T_S_2","CL_P_8","RL_P_8","T_P_8","CL_S_8","RL_S_8","T_S_8","k"
1,28,0,0.903553824210342,0.595926321726083,3.97716958089588,0.903553824210342,0.595926321726083,3.97716958089588,1.6120582011149,0.595926321726083,3.38335151340449,2.07611955706306,0.595926321726083,3.38335151340449,2.28654795131098
2,29,0,0.210224690922411,1.36333470044382,2.69002238011656,0.918729067826969,0.496415255929537,2.69002238011656,1.38279042377513,0.845360223259748,3.28384044760795,1.38279042377513,0.845360223259748,2.34107741278635,1.59321881802305
3,30,0,-0.101442561556038,1.05166744796537,2.0294101603079,1.49197995979253,1.05166744796537,2.0294101603079,0.607061815348519,0.808762444552334,2.9721731951295,0.607061815348519,0.533692970781299,2.9721731951295,1.2815515655446
4,31,0,0.450920508715275,0.143293006231016,2.30670375680818,0.450920508715275,0.143293006231016,2.93071819790943,1.15942488561983,0.143293006231016,2.93071819790943,0.450920508715275,0.737111073722401,2.93071819790943,1.83391463581591
5,32,0,0.489459831957183,0.416090987389963,2.85457121173816,0.489459831957183,0.0671460200597513,1.63673870314553,1.83843933234935,0.934065464574033,2.85457121173816,-0.219044544947374,0.934065464574033,2.85457121173816,1.16394958215326
6,33,0,-0.580422239041329,0.0547132932960074,1.89937545015282,0.128082137863228,0.0547132932960074,2.49319351764421,0.592143493811385,-0.888049741525588,2.49319351764421,1.01300028230723,0.0547132932960074,1.89937545015282,0.802571888059309
7,34,0,0.918729067826969,-0.0974028115618475,2.34107741278635,0.918729067826969,0.496415255929537,2.34107741278635,0.918729067826969,0.496415255929537,2.34107741278635,1.80364721227098,0.496415255929537,3.28384044760795,1.59321881802305
8,35,0,0.517484896633719,0.498029173302412,1.82471685297516,0.517484896633719,0.498029173302412,1.82471685297516,1.40240304107773,0.957797408460876,1.82471685297516,2.11090741798228,0.498029173302412,2.41853492046654,0.727913290881644
9,36,0,0.37832239903603,0.397778122367338,1.858515634373,0.842383754984187,-0.0619901127911267,0.915752599551408,1.55088813188874,1.858515634373,1.858515634373,0.37832239903603,0.640683125780373,1.26469756688162,0.167894004788105
10,37,0,0.29293181590562,0.967421566101701,2.6580431956866,0.756993171853777,-0.129381995991812,2.6580431956866,0.756993171853777,0.494632445109434,2.6580431956866,1.64191131629778,1.19730568368093,2.6580431956866,0.967421566101701
