"S","ID","Age","CL_P_2","RL_P_2","T_P_2","CL_S_2","RL_S_2","T_S_2","CL_P_8","RL_P_8","T_P_8","CL_S_8","RL_S_8","T_S_8","kp","ks"
1,28,0,0.59775826954664,0.290130767062381,3.67137402623218,0.59775826954664,0.290130767062381,3.67137402623218,1.37925916043574,0.363127281046925,3.15055247272534,1.8433205163839,0.363127281046925,3.15055247272534,1.98075239664728,2.05374891063182
2,29,0,-0.203233009488778,0.949877000032628,2.27656467970537,0.505271367415779,0.0829575555183468,2.27656467970537,1.8433205163839,1.30589031586852,3.74437054021672,1.8433205163839,1.30589031586852,2.80160750539512,1.17976111761186,2.05374891063182
3,30,0,-0.415572560998937,0.737537448522469,1.715280160865,1.17784996034963,0.737537448522469,1.715280160865,0.880283844400771,1.08198447360459,3.24539522418175,0.880283844400771,0.806914999833551,3.24539522418175,0.967421566101701,1.55477359459685
4,31,0,0.0822396655848836,-0.225387836899375,1.93802291367779,0.0822396655848836,-0.225387836899375,2.56203735477904,1.37925916043574,0.363127281046925,3.15055247272534,0.670754783531184,0.956945348538309,3.15055247272534,1.46523379268552,2.05374891063182
5,32,0,0.505271367415779,0.431902522848558,2.87038274719676,0.505271367415779,0.0829575555183468,1.65255023860413,1.75480909101104,0.850435223235724,2.77094097039985,-0.302674786285683,0.850435223235724,2.77094097039985,1.17976111761186,1.08031934081496
6,33,0,-0.415572560998937,0.219562971338399,2.06422512819521,0.29293181590562,0.219562971338399,2.6580431956866,0.432917011144992,-1.04727622419198,2.33396703497782,0.853773799640842,-0.104513189370385,1.74014896748643,0.967421566101701,0.643345405392917
7,34,0,0.790744042489441,-0.225387836899375,2.21309238744882,0.790744042489441,0.368430230592009,2.21309238744882,0.880283844400771,0.45797003250334,2.30263218936016,1.76520198884478,0.45797003250334,3.24539522418175,1.46523379268552,1.55477359459685
8,35,0,0.155677962552645,0.136222239221338,1.46290991889408,0.155677962552645,0.136222239221338,1.46290991889408,1.75480909101104,1.31020345839419,2.17712290290847,2.46331346791559,0.850435223235724,2.77094097039985,0.36610635680057,1.08031934081496
9,36,0,0.451468788133952,0.470924511465259,1.93166202347093,0.915530144082109,0.0111562763067948,0.988898988649329,1.48342784761211,1.79105535009637,1.79105535009637,0.310862114759395,0.573222841503737,1.19723728260498,0.241040393886027,0.10043372051147
10,37,0,0.117148857547293,0.791638607743375,2.48226023732827,0.58121021349545,-0.305164954350139,2.48226023732827,0.869890946567031,0.607530219822689,2.77094097039985,1.75480909101104,1.31020345839419,2.77094097039985,0.791638607743375,1.08031934081496
11,38,0,1.3062626464512,0.290130767062381,3.07755595874079,0.59775826954664,1.23289380188398,2.72861099141058,1.34434520034893,-0.135848034988045,2.65157715669037,1.76520198884478,0.45797003250334,3.24539522418175,1.98075239664728,1.55477359459685
12,39,0,1.77032400239935,0.290130767062381,3.07755595874079,0.59775826954664,0.883948834553765,3.67137402623218,1.37925916043574,0.956945348538309,3.74437054021672,0.670754783531184,0.363127281046925,3.15055247272534,1.98075239664728,2.05374891063182
13,40,0,0.59775826954664,1.23289380188398,2.45354151763955,0.59775826954664,0.290130767062381,2.45354151763955,0.880283844400771,0.45797003250334,2.30263218936016,0.880283844400771,-0.135848034988045,2.30263218936016,1.98075239664728,1.55477359459685
14,41,0,0.756993171853777,0.219562971338399,2.6580431956866,-0.415572560998937,-0.723200063483196,2.6580431956866,1.8433205163839,1.30589031586852,3.15055247272534,1.37925916043574,0.363127281046925,3.15055247272534,0.967421566101701,2.05374891063182
15,42,0,0.790744042489441,-0.225387836899375,3.15585542227042,1.2548053984376,0.368430230592009,3.15585542227042,0.880283844400771,0.45797003250334,3.24539522418175,0.171779467496214,-0.135848034988045,2.30263218936016,1.46523379268552,1.55477359459685
16,43,0,-0.0822396655848843,-0.368430230592009,0.225387836899376,-0.790744042489441,-0.992444671693255,-1.46523379268552,0.101442561556037,0.409070064040298,0.409070064040298,-0.607061815348519,-0.808762444552334,-0.184748003451087,-1.46523379268552,-1.2815515655446
17,44,0,0.427055766714452,-0.459319401131137,1.73428772305589,-0.745509966138262,-1.05313746862252,2.32810579054728,1.34434520034893,1.08198447360459,3.24539522418175,2.22926334479293,1.08198447360459,3.24539522418175,0.637484160962377,1.55477359459685
18,45,0,0.790744042489441,0.368430230592009,2.21309238744882,0.0822396655848836,-0.225387836899375,3.15585542227042,1.37925916043574,1.30589031586852,3.74437054021672,1.37925916043574,0.363127281046925,3.74437054021672,1.46523379268552,2.05374891063182
19,46,0,1.3062626464512,0.290130767062381,2.45354151763955,0.59775826954664,0.290130767062381,2.45354151763955,2.22926334479293,1.32488947701762,2.65157715669037,0.880283844400771,1.08198447360459,2.02756271558912,1.98075239664728,1.55477359459685
20,47,0,-0.203233009488778,0.0829575555183468,2.27656467970537,-0.203233009488778,0.0829575555183468,2.87038274719676,1.07112317129668,0.533692970781299,2.37835512763811,1.95604131574068,1.05166744796537,2.9721731951295,1.17976111761186,1.2815515655446
21,48,0,1.3062626464512,0.290130767062381,2.72861099141058,0.59775826954664,0.883948834553765,3.67137402623218,2.26417730487975,1.58095978963956,3.15055247272534,1.37925916043574,1.30589031586852,3.74437054021672,1.98075239664728,2.05374891063182
22,49,0,1.31197391115846,0.637484160962377,1.11027328195464,0.427055766714452,0.637484160962377,1.11027328195464,0.876383229337933,-0.545965115621451,0.674682600134118,0.876383229337933,-0.0279906384373811,0.674682600134118,0.637484160962377,0.201893479141851
23,50,0,0.427055766714452,0.16469503997011,2.32810579054728,-0.0370055892337048,-0.459319401131137,2.32810579054728,0.405829590618874,1.08031934081496,1.55310846180722,1.29074773506288,0.850435223235724,2.17712290290847,0.637484160962377,1.08031934081496
24,51,0,-0.591355519357264,-0.305164954350139,1.88844216983689,0.117148857547293,0.318849486751107,2.48226023732827,1.8433205163839,1.30589031586852,3.74437054021672,1.8433205163839,1.30589031586852,3.74437054021672,0.791638607743375,2.05374891063182
25,52,0,0.59775826954664,1.23289380188398,3.67137402623218,0.59775826954664,0.290130767062381,3.07755595874079,1.76520198884478,0.806914999833551,3.24539522418175,0.880283844400771,0.45797003250334,3.24539522418175,1.98075239664728,1.55477359459685
26,53,0,1.2548053984376,1.23534967510629,2.21309238744882,0.0822396655848836,0.368430230592009,3.15585542227042,1.95604131574068,0.533692970781299,2.9721731951295,1.07112317129668,0.808762444552334,2.9721731951295,1.46523379268552,1.2815515655446
27,54,0,0.155677962552645,-0.381752237962732,0.838895477792837,1.04059610699665,-0.730697205292944,2.05672798638547,1.29074773506288,1.31020345839419,2.77094097039985,0.405829590618874,0.607530219822689,2.77094097039985,0.36610635680057,1.08031934081496
28,55,0,-0.591355519357264,0.318849486751107,1.53949720250668,0.117148857547293,-0.305164954350139,1.53949720250668,-0.0311443448031649,0.413461287813685,2.33396703497782,-0.0311443448031649,-0.453458156700597,1.74014896748643,0.791638607743375,0.643345405392917
29,56,0,0.505271367415779,0.706971996619593,1.92761971237516,-0.203233009488778,0.431902522848558,1.65255023860413,1.5898548380389,1.14524920542205,2.01216864993633,-0.467629039257825,-0.181438474250699,1.66322368260612,1.17976111761186,0.915365087842814
30,57,0,0.0822396655848836,0.71737519792222,2.56203735477904,0.0822396655848836,-0.225387836899375,2.56203735477904,2.26417730487975,1.58095978963956,3.15055247272534,1.8433205163839,0.956945348538309,2.52653803162409,1.46523379268552,2.05374891063182
31,58,0,1.67566218693345,0.992444671693255,2.56203735477904,0.0822396655848836,0.368430230592009,3.15585542227042,1.34434520034893,0.806914999833551,3.24539522418175,1.76520198884478,0.45797003250334,2.30263218936016,1.46523379268552,1.55477359459685
32,59,0,0.915530144082109,0.470924511465259,1.33784395597954,0.0306119996381021,-0.506818200877275,1.93166202347093,-0.00853491510607379,0.674682600134118,1.89251510872675,-0.00853491510607379,-0.545965115621451,0.949752073905153,0.241040393886027,0.201893479141851
33,60,0,-0.203233009488778,0.706971996619593,1.92761971237516,0.969332723363936,0.0829575555183468,2.27656467970537,1.34434520034893,1.08198447360459,3.24539522418175,0.171779467496214,1.08198447360459,3.24539522418175,1.17976111761186,1.55477359459685
34,61,0,0.0822396655848836,1.23534967510629,3.15585542227042,0.0822396655848836,0.368430230592009,3.15585542227042,0.405829590618874,-0.0164842212785574,2.77094097039985,0.405829590618874,-0.610302288769942,2.77094097039985,1.46523379268552,1.08031934081496
35,62,0,0.847912555210302,0.637484160962377,1.38534275572568,-0.745509966138262,-1.05313746862252,0.867368278541609,1.76520198884478,1.78465771217609,2.65157715669037,0.880283844400771,0.806914999833551,1.55477359459685,0.637484160962377,1.55477359459685
36,63,0,0.0822396655848836,0.368430230592009,2.56203735477904,0.790744042489441,0.368430230592009,2.56203735477904,1.49197995979253,1.05166744796537,1.75434068653687,0.607061815348519,0.184748003451087,2.9721731951295,1.46523379268552,1.2815515655446
37,64,0,0.790744042489441,0.992444671693255,2.56203735477904,1.2548053984376,0.368430230592009,2.56203735477904,1.95604131574068,0.808762444552334,1.75434068653687,1.95604131574068,0.808762444552334,2.37835512763811,1.46523379268552,1.2815515655446
38,65,0,-0.203233009488778,0.0829575555183468,2.87038274719676,0.505271367415779,0.0829575555183468,2.27656467970537,1.8433205163839,1.58095978963956,2.80160750539512,1.8433205163839,1.58095978963956,3.15055247272534,1.17976111761186,2.05374891063182
39,66,0,0.790744042489441,0.368430230592009,2.21309238744882,0.790744042489441,0.71737519792222,2.56203735477904,1.8433205163839,0.363127281046925,3.15055247272534,2.26417730487975,1.58095978963956,2.52653803162409,1.46523379268552,2.05374891063182
40,67,0,0.0907802812080827,0.11023600453939,-0.119648113039842,0.0907802812080827,-0.349532230619074,-0.119648113039842,-0.774923470707552,0.129450397067762,0.372355400480797,-0.774923470707552,-0.573222841503737,-0.10043372051147,-0.119648113039842,-0.10043372051147
41,68,0,0.756993171853777,-0.129381995991812,2.06422512819521,-0.415572560998937,-0.129381995991812,2.06422512819521,0.670754783531184,1.58095978963956,3.74437054021672,1.8433205163839,1.58095978963956,2.80160750539512,0.967421566101701,2.05374891063182
42,69,0,1.17784996034963,0.737537448522469,1.44021068709397,0.756993171853777,0.219562971338399,2.06422512819521,-0.0311443448031649,0.413461287813685,1.74014896748643,0.432917011144992,-0.104513189370385,2.33396703497782,0.967421566101701,0.643345405392917
43,70,0,0.790744042489441,0.368430230592009,2.56203735477904,1.2548053984376,0.368430230592009,3.15585542227042,1.8433205163839,0.363127281046925,3.74437054021672,0.670754783531184,0.956945348538309,3.74437054021672,1.46523379268552,2.05374891063182
44,71,0,0.451468788133952,0.470924511465259,0.988898988649329,-1.14195373321461,-0.23174872710624,0.988898988649329,1.07112317129668,2.0294101603079,2.37835512763811,1.49197995979253,0.808762444552334,2.0294101603079,0.241040393886027,1.2815515655446
45,72,0,0.427055766714452,0.407600043383145,1.73428772305589,-0.0370055892337048,-0.110374433800925,1.73428772305589,1.34434520034893,1.32488947701762,3.24539522418175,1.76520198884478,1.55477359459685,2.65157715669037,0.637484160962377,1.55477359459685
46,73,0,0.0822396655848836,0.368430230592009,2.56203735477904,1.67566218693345,0.71737519792222,2.56203735477904,1.34434520034893,0.806914999833551,2.65157715669037,1.34434520034893,0.806914999833551,3.24539522418175,1.46523379268552,1.55477359459685
47,74,0,-0.203233009488778,0.0829575555183468,1.92761971237516,-0.203233009488778,-0.510860511973037,2.27656467970537,0.670754783531184,1.58095978963956,3.74437054021672,0.670754783531184,0.363127281046925,2.28363302821105,1.17976111761186,2.05374891063182
48,75,0,-0.58121021349545,-0.0437800129800725,0.305164954350139,-0.58121021349545,-0.0437800129800725,0.305164954350139,1.18110064795879,0.894910082951663,0.270895641850416,0.00853491510607407,0.0279906384373814,0.0279906384373814,-0.791638607743375,-0.201893479141851
49,76,0,0.59775826954664,0.290130767062381,3.07755595874079,0.59775826954664,0.290130767062381,3.67137402623218,0.880283844400771,0.45797003250334,2.65157715669037,1.34434520034893,-0.135848034988045,3.24539522418175,1.98075239664728,1.55477359459685
50,77,0,0.969332723363936,0.706971996619593,2.27656467970537,0.505271367415779,0.0829575555183468,2.87038274719676,1.37925916043574,2.28363302821105,3.74437054021672,2.7282386608279,1.82386479305259,3.15055247272534,1.17976111761186,2.05374891063182
51,78,0,0.59775826954664,0.290130767062381,3.07755595874079,0.59775826954664,0.290130767062381,3.67137402623218,0.171779467496214,0.45797003250334,3.24539522418175,1.34434520034893,0.45797003250334,3.24539522418175,1.98075239664728,1.55477359459685
52,79,0,0.58121021349545,0.318849486751107,1.88844216983689,0.117148857547293,0.0437800129800725,1.53949720250668,0.734828906955965,-0.572403049385473,1.27225910747134,0.734828906955965,0.524400512708041,0.997189633700308,0.791638607743375,0.524400512708041
53,80,0,0.58121021349545,1.02152272532261,1.26442772873564,-0.591355519357264,0.0437800129800725,1.02152272532261,2.29835921494345,0.685480970263582,2.01216864993633,0.240875337646732,0.442575966850547,1.14524920542205,0.791638607743375,0.915365087842814
54,81,0,-0.203233009488778,0.0829575555183468,2.27656467970537,0.505271367415779,0.0829575555183468,2.87038274719676,0.607061815348519,1.05166744796537,2.37835512763811,-0.101442561556038,0.184748003451087,2.0294101603079,1.17976111761186,1.2815515655446
55,82,0,-0.707628964929479,-0.267316453102322,0.599602991411959,-0.286772176433629,-1.24505916544486,0.599602991411959,-0.313972118460116,0.223458082055261,1.16622111687686,-0.313972118460116,-0.754284630287273,-0.294516395128809,-0.497200570681554,-0.524400512708041
56,83,0,1.39018951185979,-0.510860511973037,2.87038274719676,0.505271367415779,-0.510860511973037,1.40964523519109,0.405829590618874,0.332460746051654,2.77094097039985,-0.302674786285683,-0.0164842212785574,2.77094097039985,1.17976111761186,1.08031934081496
57,84,0,0.59775826954664,0.290130767062381,3.07755595874079,0.59775826954664,0.290130767062381,3.07755595874079,2.22926334479293,0.45797003250334,3.24539522418175,1.34434520034893,-0.135848034988045,2.65157715669037,1.98075239664728,1.55477359459685
58,85,0,0.576534751048494,0.595990474379802,1.46290991889408,1.04059610699665,-0.106682764191698,0.595990474379802,-0.0311443448031649,0.873229522972149,1.39120400015622,-0.0311443448031649,-0.104513189370385,1.39120400015622,0.36610635680057,0.643345405392917
59,86,0,1.67566218693345,0.71737519792222,2.21309238744882,1.2548053984376,0.71737519792222,3.15585542227042,0.20203473519348,0.182579011862173,1.16032172420471,0.622891523689329,0.182579011862173,1.16032172420471,1.46523379268552,0.412463129441405
60,87,0,-0.177289179514528,0.727084688260786,1.24505916544486,0.286772176433629,0.0244114496892867,1.59400413277507,0.853773799640842,0.873229522972149,0.873229522972149,1.317835155589,0.413461287813685,2.33396703497782,0.497200570681554,0.643345405392917
61,88,0,0.0822396655848836,-0.225387836899375,2.21309238744882,0.0822396655848836,-0.225387836899375,2.56203735477904,1.8433205163839,1.30589031586852,2.80160750539512,0.670754783531184,0.956945348538309,2.80160750539512,1.46523379268552,2.05374891063182
62,89,0,0.969332723363936,-0.510860511973037,1.17976111761186,-0.203233009488778,0.431902522848558,2.87038274719676,0.240875337646732,0.685480970263582,1.38815420883508,1.12579348209074,0.442575966850547,1.66322368260612,1.17976111761186,0.915365087842814
63,90,0,-0.0370055892337048,0.16469503997011,1.73428772305589,-0.745509966138262,-0.459319401131137,2.32810579054728,1.76520198884478,1.55477359459685,3.24539522418175,0.880283844400771,1.08198447360459,3.24539522418175,0.637484160962377,1.55477359459685
64,91,0,-0.203233009488778,0.431902522848558,1.92761971237516,0.505271367415779,-0.510860511973037,2.87038274719676,1.8433205163839,0.363127281046925,2.80160750539512,1.8433205163839,0.956945348538309,3.15055247272534,1.17976111761186,2.05374891063182
65,92,0,0.58121021349545,0.318849486751107,2.48226023732827,0.117148857547293,0.0437800129800725,1.53949720250668,0.869890946567031,0.850435223235724,2.77094097039985,0.405829590618874,0.332460746051654,1.82817793557826,0.791638607743375,1.08031934081496
66,93,0,0.0822396655848836,-0.225387836899375,1.93802291367779,1.2548053984376,-0.225387836899375,2.21309238744882,1.37925916043574,0.363127281046925,2.80160750539512,3.43674303773246,1.82386479305259,3.74437054021672,1.46523379268552,2.05374891063182
67,94,1,0.0822396655848836,-0.225387836899375,2.21309238744882,0.0822396655848836,-0.225387836899375,2.21309238744882,1.37925916043574,1.30589031586852,3.74437054021672,1.37925916043574,0.956945348538309,2.52653803162409,1.46523379268552,2.05374891063182
68,95,0,0.59775826954664,0.290130767062381,2.21063651422651,1.77032400239935,0.290130767062381,3.07755595874079,1.37925916043574,1.58095978963956,2.52653803162409,1.37925916043574,0.956945348538309,3.15055247272534,1.98075239664728,2.05374891063182
69,96,1,0.790744042489441,-0.225387836899375,2.21309238744882,1.2548053984376,0.71737519792222,2.56203735477904,0.432917011144992,-1.04727622419198,1.74014896748643,0.853773799640842,0.873229522972149,1.74014896748643,1.46523379268552,0.643345405392917
70,97,1,1.3062626464512,0.290130767062381,2.45354151763955,1.3062626464512,0.883948834553765,2.21063651422651,1.37925916043574,0.363127281046925,2.28363302821105,1.37925916043574,0.956945348538309,2.52653803162409,1.98075239664728,2.05374891063182
71,98,1,1.2548053984376,0.368430230592009,2.56203735477904,0.0822396655848836,-0.225387836899375,2.21309238744882,2.26417730487975,2.05374891063182,3.74437054021672,1.8433205163839,0.956945348538309,3.15055247272534,1.46523379268552,2.05374891063182
72,99,1,1.3062626464512,0.290130767062381,1.23289380188398,1.3062626464512,0.290130767062381,2.21063651422651,0.670754783531184,1.30589031586852,1.58095978963956,1.37925916043574,0.363127281046925,2.80160750539512,1.98075239664728,2.05374891063182
73,100,1,0.59775826954664,0.883948834553765,1.98075239664728,0.59775826954664,0.883948834553765,3.07755595874079,1.8433205163839,0.956945348538309,3.74437054021672,2.26417730487975,1.30589031586852,2.28363302821105,1.98075239664728,2.05374891063182
74,102,1,-0.433449356310055,-0.23174872710624,1.93166202347093,1.62403452098666,0.0111562763067948,0.988898988649329,0.210428394247925,0,0.747858594763302,0.674489750196082,0.472789120992267,0.747858594763302,0.241040393886027,0
75,103,1,0.0370055892337047,-0.407600043383145,0.110374433800925,-0.427055766714452,-0.16469503997011,1.05313746862252,0.472596271054231,0.894910082951663,0.545965115621451,1.18110064795879,0.0279906384373814,0.545965115621451,-0.637484160962377,-0.201893479141851
76,104,1,0.969332723363936,0.949877000032628,1.65255023860413,0.969332723363936,0.431902522848558,1.65255023860413,1.49197995979253,0.533692970781299,2.37835512763811,1.49197995979253,1.05166744796537,2.37835512763811,1.17976111761186,1.2815515655446
77,105,1,-0.203233009488778,-0.510860511973037,1.17976111761186,0.505271367415779,0.706971996619593,1.65255023860413,2.7282386608279,1.58095978963956,1.82386479305259,1.37925916043574,1.58095978963956,2.28363302821105,1.17976111761186,2.05374891063182
78,106,1,0.790744042489441,0.368430230592009,2.56203735477904,0.790744042489441,-0.225387836899375,2.21309238744882,1.34434520034893,0.806914999833551,2.65157715669037,2.22926334479293,0.806914999833551,2.65157715669037,1.46523379268552,1.55477359459685
79,107,1,0.29293181590562,-0.129381995991812,0.737537448522469,-0.415572560998937,-0.723200063483196,0.219562971338399,1.8433205163839,0.363127281046925,1.58095978963956,1.8433205163839,0.363127281046925,2.05374891063182,0.967421566101701,2.05374891063182
80,108,1,0.505271367415779,0.706971996619593,2.27656467970537,-0.203233009488778,-0.510860511973037,0.949877000032628,-0.302674786285683,0.607530219822689,1.82817793557826,0.405829590618874,0.607530219822689,1.55310846180722,1.17976111761186,1.08031934081496
81,109,1,-0.203233009488778,0.0829575555183468,1.92761971237516,-0.203233009488778,-0.510860511973037,2.27656467970537,0.670754783531184,1.30589031586852,2.28363302821105,1.37925916043574,0.363127281046925,3.15055247272534,1.17976111761186,2.05374891063182
82,110,1,-0.203233009488778,0.706971996619593,1.40964523519109,-0.203233009488778,0.0829575555183468,2.27656467970537,0.869890946567031,0.332460746051654,2.77094097039985,1.29074773506288,-0.0164842212785574,2.17712290290847,1.17976111761186,1.08031934081496
